iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,bloc_eu15
BEL,Belgium,2020,194.656788041,432.9011379797,470417598101.755,EU,0.5503435519956337,238.24434993870003,EU15
BEL,Belgium,2021,207.19997534240002,510.87204798079995,499839663858.827,EU,0.5944190406162382,303.6720726383999,EU15
BEL,Belgium,2022,216.4868864904,505.3360278316,519614510458.488,EU,0.5715981553515064,288.84914134120004,EU15
BEL,Belgium,2023,224.9108264287,533.7180389862,528521336864.414,EU,0.5785961687637179,308.80721255749995,EU15
BEL,Belgium,2024,233.104819477,553.3192066770999,534178915343.837,EU,0.5787154744240918,320.21438720009996,EU15
BRA,Brazil,1994,2153.5370451986,1858.9327937130001,1023622994691.61,MERCOSUR,-0.15848031326466755,-294.6042514855999,MERCOSUR
BRA,Brazil,1995,2218.731182508,1953.7997098966,1066858717573.94,MERCOSUR,-0.1355980714243329,-264.93147261140007,MERCOSUR
BRA,Brazil,1996,2221.882328023,1970.7807107273,1090424176256.21,MERCOSUR,-0.12741225643670576,-251.10161729569995,MERCOSUR
BRA,Brazil,1997,2317.6308146697997,2051.7188322097,1127442397626.76,MERCOSUR,-0.1296044946732359,-265.9119824600998,MERCOSUR
BRA,Brazil,1998,2372.9286956167,2110.9359791908,1131254256718.86,MERCOSUR,-0.12411210904005328,-261.9927164259002,MERCOSUR
BRA,Brazil,1999,2374.6275738825,2039.8990897326,1136547820360.71,MERCOSUR,-0.16409070715050814,-334.72848414990017,MERCOSUR
BRA,Brazil,2000,2408.2584426820004,2050.4049597825,1186418964121.03,MERCOSUR,-0.17452819804798955,-357.85348289950025,MERCOSUR
BRA,Brazil,2001,2468.7514906668002,2072.2267899955,1202908958645.15,MERCOSUR,-0.19135198067396925,-396.52470067130025,MERCOSUR
BRA,Brazil,2002,2513.005141426,2092.1883176906,1239639324869.85,MERCOSUR,-0.20113716350347777,-420.81682373540025,MERCOSUR
BRA,Brazil,2003,2642.6468951132,2149.523262934,1253781489768.13,MERCOSUR,-0.22941069802897102,-493.1236321792003,MERCOSUR
BRA,Brazil,2004,2700.1375344663,2202.0749128298003,1325998860202.27,MERCOSUR,-0.22617878199087202,-498.0626216364999,MERCOSUR
BRA,Brazil,2005,2700.8105733403,2287.9713999452,1368459094848.72,MERCOSUR,-0.18043895714998354,-412.8391733950998,MERCOSUR
BRA,Brazil,2006,2892.3167550395,2509.7208220288,1422677289673.84,MERCOSUR,-0.15244561452911667,-382.59593301070026,MERCOSUR
BRA,Brazil,2007,3117.786878751,2822.7068519437,1509031960316.93,MERCOSUR,-0.10453796383570965,-295.0800268073003,MERCOSUR
BRA,Brazil,2008,3371.9795188569997,3102.6159626658,1585904997750.07,MERCOSUR,-0.08681820741996045,-269.3635561911997,MERCOSUR
BRA,Brazil,2009,3398.331769084,3092.5748321162,1583909738906.86,MERCOSUR,-0.0988680803428046,-305.7569369677999,MERCOSUR
BRA,Brazil,2010,3626.9349264808,3398.9973776437,1703150040806.99,MERCOSUR,-0.067060230859935,-227.93754883710017,MERCOSUR
BRA,Brazil,2011,4176.8368965091,3765.0693822831,1770840429106.43,MERCOSUR,-0.10936518624692881,-411.76751422600046,MERCOSUR
BRA,Brazil,2012,4250.4893923442005,3800.5041133699997,1804861390164.77,MERCOSUR,-0.11840147137090924,-449.9852789742008,MERCOSUR
BRA,Brazil,2013,4290.6693459999,3921.0942118546,1859094274383.73,MERCOSUR,-0.09425306156326653,-369.57513414529967,MERCOSUR
BRA,Brazil,2014,4243.609512701,3804.6741977189004,1868463286696.58,MERCOSUR,-0.11536738552942706,-438.93531498209995,MERCOSUR
BRA,Brazil,2015,4234.1906015755,3598.0021746581997,1802211999456.42,MERCOSUR,-0.1768171324070244,-636.1884269173006,MERCOSUR
BRA,Brazil,2016,4183.3247215711,3581.9776019819,1743173031878.48,MERCOSUR,-0.16788131764321357,-601.3471195891998,MERCOSUR
BRA,Brazil,2017,4310.5779563655005,3574.0090567725,1766232928473.27,MERCOSUR,-0.20609038418558376,-736.5688995930004,MERCOSUR
BRA,Brazil,2018,4231.3582641740995,3508.4624436536,1797736638146.82,MERCOSUR,-0.20604348261676103,-722.8958205204995,MERCOSUR
BRA,Brazil,2019,4305.3416360141,3584.8877564918,1819683008336.22,MERCOSUR,-0.20096971745283937,-720.4538795223002,MERCOSUR
BRA,Brazil,2020,4330.4330477382,3580.6673190499,1760056385298.89,MERCOSUR,-0.20939273657158522,-749.7657286883,MERCOSUR
BRA,Brazil,2021,4340.3609098638,3492.3268629232,1843880907790.44,MERCOSUR,-0.24282779940900645,-848.0340469405996,MERCOSUR
BRA,Brazil,2022,4354.7843677657,3548.9657348006,1899505159031.73,MERCOSUR,-0.2270573156182855,-805.8186329651003,MERCOSUR
BRA,Brazil,2023,4384.5125992274,3588.560549343,1961080569227.7,MERCOSUR,-0.22180259715281223,-795.9520498843999,MERCOSUR
BRA,Brazil,2024,4438.4333048956005,3632.5811009512,2028136094548.34,MERCOSUR,-0.22184011355820418,-805.8522039444006,MERCOSUR
DEU,Germany,1994,1553.0773418576,2152.6250124071003,2575519839599.45,EU,0.2785193273765208,599.5476705495003,EU15
DEU,Germany,1995,1495.4672806998,2145.7795544487,2614281254585.26,EU,0.30306574242477574,650.3122737488998,EU15
DEU,Germany,1996,1460.3293455514,2047.6497115152,2641414240990.66,EU,0.28682658106068365,587.3203659638,EU15
DEU,Germany,1997,1440.039126135,2004.7680000732,2690394576515.06,EU,0.28169288113017565,564.7288739382,EU15
DEU,Germany,1998,1531.472252325,2131.4103492887,2746774816494.42,EU,0.281474703903879,599.9380969637002,EU15
DEU,Germany,1999,1568.2505842560001,2252.4350939096,2805269313430.67,EU,0.3037532630811776,684.1845096535997,EU15
DEU,Germany,2000,1542.9152380005,2181.3598321341,2885963533943.47,EU,0.2926819247006064,638.4445941336,EU15
DEU,Germany,2001,1317.835828911,1987.9930144684,2933181986968.52,EU,0.3371023845054122,670.1571855574,EU15
DEU,Germany,2002,1254.8078041793,1930.6461065794,2926486831428.63,EU,0.35005809718152264,675.8383024001,EU15
DEU,Germany,2003,1228.6299181978,1991.5048546329,2910982263391.97,EU,0.383064562790495,762.8749364351002,EU15
DEU,Germany,2004,1246.9417844613,2079.4552351261,2944810405337.25,EU,0.4003517058708483,832.5134506648001,EU15
DEU,Germany,2005,1174.3539411683,2072.388262263,2970886268370.04,EU,0.4333330474059273,898.0343210946999,EU15
DEU,Germany,2006,1218.6345850156,2162.5705160355,3085761005285.65,EU,0.4364879313856348,943.9359310199002,EU15
DEU,Germany,2007,1293.496177039,2246.9318801332,3174912263837.68,EU,0.4243278185352373,953.4357030942001,EU15
DEU,Germany,2008,1292.4634663591,2254.3903215605,3203102383827.36,EU,0.4266904652675893,961.9268552014,EU15
DEU,Germany,2009,1236.3449871594999,2062.4331191287997,3025504625850.04,EU,0.40054056750128747,826.0881319692999,EU15
DEU,Germany,2010,1249.1530874995,2062.0334913558,3150598283304.25,EU,0.39421299763750484,812.8804038562998,EU15
DEU,Germany,2011,1297.5307148350998,2193.8874676395003,3268996785218.57,EU,0.4085700684405796,896.3567528044005,EU15
DEU,Germany,2012,1252.1484958408998,2094.6295243226,3284148978797.69,EU,0.4022100417753623,842.4810284817002,EU15
DEU,Germany,2013,1256.5806580439,2078.7155915411,3297186905208.25,EU,0.3955014032909104,822.1349334971999,EU15
DEU,Germany,2014,1273.1176522174,2064.9906239354,3369071713224.27,EU,0.38347533520945054,791.8729717179999,EU15
DEU,Germany,2015,1240.8693641215,1941.5426113047,3425099578746.09,EU,0.36088481556032065,700.6732471831999,EU15
DEU,Germany,2016,1273.1003906108,1991.8821535923,3501212900675.89,EU,0.36085556652294837,718.7817629814999,EU15
DEU,Germany,2017,1274.2387169495,2003.7080474477,3599173571724.7,EU,0.3640596899470407,729.4693304982,EU15
DEU,Germany,2018,1204.9535743721,2047.3392441645,3640049243667.4,EU,0.41145387712048165,842.3856697924,EU15
DEU,Germany,2019,1201.5887783915998,1979.9338611721,3675639268112.03,EU,0.3931167086155737,778.3450827805002,EU15
DEU,Germany,2020,1122.0878184283,1882.2894968167,3523764998709.97,EU,0.40387075403334177,760.2016783884001,EU15
DEU,Germany,2021,1147.4819934036,2026.5589115451,3661544208117.2,EU,0.4337781216886853,879.0769181415001,EU15
DEU,Germany,2022,1163.9931466154,1966.1125232354,3727790994177.62,EU,0.4079722636118743,802.1193766199999,EU15
DEU,Germany,2023,1188.7258071045999,2026.6446426559999,3695372350062.48,EU,0.41345128687843047,837.9188355514,EU15
DEU,Germany,2024,1199.9093031067,2065.4757628852,3677048776153.86,EU,0.4190639635342012,865.5664597784998,EU15
DNK,Denmark,1994,87.1358940467,120.3579467286,220068623481.056,EU,0.2760270807611378,33.222052681899996,EU15
DNK,Denmark,1995,93.6244064133,129.9879305463,226754355587.313,EU,0.27974538851549596,36.363524133,EU15
DNK,Denmark,1996,94.470914183,131.4072293182,233320596409.064,EU,0.2810828241858706,36.93631513519999,EU15
DNK,Denmark,1997,94.4291904673,128.1338922356,240713316196.954,EU,0.26304283105930404,33.7047017683,EU15
DNK,Denmark,1998,126.5996607033,162.8986786101,246313036680.162,EU,0.22283187449102734,36.2990179068,EU15
DNK,Denmark,1999,136.08936090650002,168.6094724891,253621896626.282,EU,0.19287238790633363,32.52011158259998,EU15
DNK,Denmark,2000,128.4496392504,154.7191475216,263066798869.213,EU,0.16978834676899043,26.26950827120001,EU15
DNK,Denmark,2001,124.1036111984,150.5301321363,265566018286.991,EU,0.17555635249141796,26.42652093790001,EU15
DNK,Denmark,2002,120.469623053,146.8470338646,266778406880.15,EU,0.17962508412612022,26.3774108116,EU15
DNK,Denmark,2003,119.9032913125,149.7927193983,267955142440.516,EU,0.19953859043258151,29.88942808579999,EU15
DNK,Denmark,2004,127.332218237,158.59280304069998,275394519880.793,EU,0.1971122535470762,31.26058480369997,EU15
DNK,Denmark,2005,134.877932486,178.81412320950002,281892753289.031,EU,0.24570872778334207,43.93619072350003,EU15
DNK,Denmark,2006,134.0669051562,177.6200444116,292651155542.909,EU,0.24520396557538318,43.5531392554,EU15
DNK,Denmark,2007,130.78500452330002,181.0343313598,295540131122.49,EU,0.27756794227405984,50.24932683649999,EU15
DNK,Denmark,2008,127.66352187369999,179.0282554833,294307201413.926,EU,0.286908530002357,51.36473360960001,EU15
