iso3,year,bloc,tapio,regime_viterbi
FRA,2008,EU,SD,2
FRA,2009,EU,RND,2
FRA,2010,EU,SD,2
FRA,2011,EU,END,2
FRA,2012,EU,SD,2
FRA,2013,EU,WD,2
FRA,2014,EU,SD,2
FRA,2015,EU,SD,2
FRA,2016,EU,SD,2
FRA,2017,EU,END,2
FRA,2018,EU,WD,2
FRA,2019,EU,SD,2
FRA,2020,EU,RD,2
FRA,2021,EU,EC,2
FRA,2022,EU,SD,2
FRA,2023,EU,END,2
FRA,2024,EU,END,2
GRC,1995,EU,END,2
GRC,1996,EU,END,2
GRC,1997,EU,SD,2
GRC,1998,EU,END,2
GRC,1999,EU,WD,2
GRC,2000,EU,END,2
GRC,2001,EU,WD,2
GRC,2002,EU,END,2
GRC,2003,EU,WD,2
GRC,2004,EU,WD,2
GRC,2005,EU,SD,2
GRC,2006,EU,WD,2
GRC,2007,EU,END,2
GRC,2008,EU,SD,2
GRC,2009,EU,RND,1
GRC,2010,EU,RND,1
GRC,2011,EU,RC,1
GRC,2012,EU,RND,1
GRC,2013,EU,RND,1
GRC,2014,EU,END,1
GRC,2015,EU,RND,1
GRC,2016,EU,RND,1
GRC,2017,EU,SD,2
GRC,2018,EU,EC,2
GRC,2019,EU,SD,2
GRC,2020,EU,RC,2
GRC,2021,EU,EC,2
GRC,2022,EU,SD,2
GRC,2023,EU,END,2
GRC,2024,EU,WD,2
HRV,1995,EU,END,2
HRV,1996,EU,SD,2
HRV,1997,EU,END,2
HRV,1998,EU,SD,2
HRV,1999,EU,RND,2
HRV,2000,EU,SD,2
HRV,2001,EU,END,2
HRV,2002,EU,END,2
HRV,2003,EU,END,2
HRV,2004,EU,EC,2
HRV,2005,EU,WD,2
HRV,2006,EU,WD,2
HRV,2007,EU,END,2
HRV,2008,EU,END,2
HRV,2009,EU,RND,1
HRV,2010,EU,RND,1
HRV,2011,EU,SND,1
HRV,2012,EU,RND,1
HRV,2013,EU,RND,1
HRV,2014,EU,RND,1
HRV,2015,EU,SD,2
HRV,2016,EU,END,2
HRV,2017,EU,SD,2
HRV,2018,EU,END,2
HRV,2019,EU,SD,2
HRV,2020,EU,SND,2
HRV,2021,EU,WD,2
HRV,2022,EU,WD,2
HRV,2023,EU,END,2
HRV,2024,EU,WD,2
HUN,1995,EU,SD,2
HUN,1996,EU,SD,2
HUN,1997,EU,WD,2
HUN,1998,EU,END,2
HUN,1999,EU,SD,2
HUN,2000,EU,SD,2
HUN,2001,EU,END,2
HUN,2002,EU,END,2
HUN,2003,EU,EC,2
HUN,2004,EU,END,2
HUN,2005,EU,END,2
HUN,2006,EU,SD,2
HUN,2007,EU,SD,2
HUN,2008,EU,END,2
HUN,2009,EU,RND,1
HUN,2010,EU,SD,1
HUN,2011,EU,SD,1
HUN,2012,EU,RND,1
HUN,2013,EU,END,2
HUN,2014,EU,END,2
HUN,2015,EU,SD,2
HUN,2016,EU,WD,2
HUN,2017,EU,END,2
HUN,2018,EU,END,2
HUN,2019,EU,WD,2
HUN,2020,EU,RD,2
HUN,2021,EU,END,2
HUN,2022,EU,WD,2
HUN,2023,EU,SND,2
HUN,2024,EU,END,2
IRL,1995,EU,SD,2
IRL,1996,EU,WD,2
IRL,1997,EU,EC,2
IRL,1998,EU,WD,2
