iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,g_mf,g_gdp,elasticity,tapio,regime_viterbi,p_regime1,p_regime2,p_regime3
BEL,Belgium,2023,224.9108264287,533.7180389862,528521336864.414,EU,0.5785961687637179,308.80721255749995,0.05616463024888085,0.01714121955152288,3.276583097256403,END,1,0.7713529463303228,0.20419373609451213,0.024453317575164973
BEL,Belgium,2024,233.104819477,553.3192066770999,534178915343.837,EU,0.5787154744240918,320.21438720009996,0.03672569832590345,0.01070454130194248,3.430852129949659,END,1,0.8230191853959293,0.15088958152239693,0.02609123308167375
BGR,Bulgaria,1995,113.8754139163,64.2945303111,33809161451.1369,EU,-0.7711524349784418,-49.5808836052,0.09409242432935708,0.02897139149209007,3.2477702824542174,END,2,0,1,0
BGR,Bulgaria,1996,93.5965101039,47.202788504,35569061221.1998,EU,-0.982859764650738,-46.393721599900005,-0.2658350830840308,0.05205393137615711,-5.106916539368138,SD,2,0.23601510906751916,0.7639848909324808,0
BGR,Bulgaria,1997,93.6772351927,54.1519698515,30548352778.3154,EU,-0.7298952457240141,-39.5252653412,0.1472197208627012,-0.1411538081272712,-1.042973780274923,SND,2,0,0.8939685858594858,0.10603141414051422
BGR,Bulgaria,1998,98.387395196,60.4992375083,31705866815.773,EU,-0.6262584331331789,-37.8881576877,0.11721212864843146,0.03789120958034946,3.0933857732854784,END,2,0.2570434358123114,0.7314218608152401,0.011534703372448494
BGR,Bulgaria,1999,94.8038349728,67.3210188191,29043813399.5103,EU,-0.4082352976200459,-27.4828161537,0.1127581369908028,-0.08396090956069947,-1.3429837478033082,SND,2,0,0.8811146688316286,0.11888533116837142
BGR,Bulgaria,2000,96.6669370204,67.5513386946,30376118589.1044,EU,-0.43101437941047743,-29.115598325799994,0.00342121791292106,0.04587225414471795,0.07458142131249525,WD,2,0,1,0
BGR,Bulgaria,2001,102.8823135621,74.7139218618,31537611343.1357,EU,-0.37701663891240633,-28.168391700299992,0.10603169834401176,0.03823703646087012,2.773010362675971,END,2,0.26004295415255635,0.7399570458474437,1.6477018930074916e-21
BGR,Bulgaria,2002,99.6392837646,76.4639435288,33389478145.9504,EU,-0.30308847760475555,-23.175340235799993,0.02342296620751688,0.0587193108148239,0.3988971580641181,WD,2,0,1,0
BGR,Bulgaria,2003,93.5686481684,71.5045742471,35138136419.3122,EU,-0.308568705619485,-22.064073921300007,-0.06485892634915003,0.05237153649775999,-1.2384384856060913,SD,2,0.23601510906751916,0.7639848909324808,0
BGR,Bulgaria,2004,106.6105286955,79.61148552060001,37425778712.9317,EU,-0.3391350255348998,-26.999043174899995,0.1133761211623298,0.06510425784453933,1.741454782159679,END,2,0.30547934269574595,0.6848363961432254,0.009684261161028605
BGR,Bulgaria,2005,111.7306231054,84.217611544,40066672175.5903,EU,-0.3266895255872422,-27.51301156140001,0.05785755652314908,0.07056348734692042,0.8199361836908157,EC,2,0.16908953980132452,0.8309104601986755,0
BGR,Bulgaria,2006,126.6246753411,94.2316289358,42792243384.376404,EU,-0.3437598051856811,-32.3930464053,0.11890645208535898,0.0680258943603156,1.747958673730068,END,2,0.25826280857987544,0.7348916086259968,0.006845582794127771
BGR,Bulgaria,2007,124.0908771756,98.6860793646,45639805260.6518,EU,-0.2574304093806471,-25.40479781100001,0.04727128756136454,0.0665438792422613,0.7103776951335753,WD,2,0,1,0
BGR,Bulgaria,2008,141.1135044551,108.4156825202,48437323784.9572,EU,-0.3015967909329701,-32.69782193490002,0.09859144489521716,0.06129558415792076,1.608459177764063,END,1,0.26004295415255635,0.7399570458474437,1.6477018930074916e-21
BGR,Bulgaria,2009,117.1030858845,92.3749227614,46816058020.3321,EU,-0.26769346467516586,-24.728163123100003,-0.14795608334441174,-0.0334714149737687,4.420371336567749,RND,1,0.2217586107004572,0.2562103455949873,0.5220310437045556
BGR,Bulgaria,2010,114.6227448106,84.8319813326,47544216166.3084,EU,-0.3511737320056173,-29.790763478,-0.08165572650364279,0.01555359799110095,-5.249957376445141,SD,1,0.5234922355185474,0.47650776448145254,0
