iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt
LUX,Luxembourg,2011,12.6673198707,18.9795011529,54576884709.7504,EU,0.33257888241364664,6.312181282199999
LUX,Luxembourg,2012,12.4382432184,18.2045941291,55477349891.7792,EU,0.31675251147085454,5.766350910699998
LUX,Luxembourg,2013,11.666715027899999,24.136508641600003,57236974872.2606,EU,0.5166361796091725,12.469793613700004
LUX,Luxembourg,2014,12.028122684800001,23.8784001604,58738350400.0169,EU,0.49627602335153626,11.850277475599997
LUX,Luxembourg,2015,13.6781913964,26.3441516545,60071584216.1375,EU,0.48078831401414485,12.665960258099998
LUX,Luxembourg,2016,14.205287354000001,24.213086449000002,63062061883.63,EU,0.4133219082201444,10.007799095000001
LUX,Luxembourg,2017,16.8808913474,22.699349713100002,63892707251.4305,EU,0.25632709479523624,5.818458365700003
LUX,Luxembourg,2018,23.0121176147,26.276061621300002,64922207640.6436,EU,0.12421739808808227,3.2639440066000027
LUX,Luxembourg,2019,23.2933370172,31.2192091755,66707126419.2733,EU,0.2538780567356592,7.9258721583000025
LUX,Luxembourg,2020,22.2306600354,27.7402885678,66366885630.9508,EU,0.19861467983413097,5.509628532400001
LUX,Luxembourg,2021,23.6782143211,49.0990631006,70965934440.7674,EU,0.5177461070370069,25.420848779499998
LUX,Luxembourg,2022,24.574150236,46.916130547399995,70187142285.2316,EU,0.47621106111527234,22.341980311399993
LUX,Luxembourg,2023,25.3890659425,48.564786231700005,70256936375.5582,EU,0.47721244316056244,23.175720289200004
LUX,Luxembourg,2024,26.204383804499997,49.7992042315,70508886559.2138,EU,0.47379914581195914,23.594820427000002
LVA,Latvia,1994,14.847007582,16.7748931931,11694996755.2612,EU,0.11492684864860983,1.927885611099999
LVA,Latvia,1995,13.770240133,16.2556599618,11584507029.7279,EU,0.1528956581671008,2.4854198287999996
LVA,Latvia,1996,16.408407639,18.6871925614,11850946177.8588,EU,0.12194367425244099,2.2787849224
LVA,Latvia,1997,15.737397458,19.787531571600002,12937852902.7127,EU,0.20468111946883488,4.050134113600002
LVA,Latvia,1998,16.3298448774,20.5374515697,13785282610.3782,EU,0.2048748199366521,4.207606692300001
LVA,Latvia,1999,18.116567533100003,22.4992685299,14173807644.0021,EU,0.19479304364831618,4.382700996799997
LVA,Latvia,2000,17.738350052999998,21.807696087,15001703493.7099,EU,0.18660137310083938,4.069346034000002
LVA,Latvia,2001,16.2440536411,20.749659413899998,15970900289.3453,EU,0.21714119171429566,4.505605772799999
LVA,Latvia,2002,19.036442314,24.4071511078,17195147700.3185,EU,0.2200465253023176,5.370708793800002
LVA,Latvia,2003,18.6771253194,29.8905661529,18644549495.6873,EU,0.3751498307572894,11.213440833499998
LVA,Latvia,2004,21.9242706749,28.4916221655,20271313178.6916,EU,0.23050114354500634,6.5673514906
LVA,Latvia,2005,23.5380960883,39.8014603547,22625890637.9303,EU,0.40861224993920403,16.263364266399996
LVA,Latvia,2006,25.2215549072,39.1576382117,25527665150.2661,EU,0.3558969320150673,13.936083304499995
LVA,Latvia,2007,37.0615324455,50.8040552816,28186253353.8682,EU,0.2705005094559294,13.742522836100001
LVA,Latvia,2008,28.673835257399997,43.159190121500004,27231101091.0587,EU,0.33562619741754707,14.485354864100007
LVA,Latvia,2009,21.234664718199998,29.8838647447,22863227157.4637,EU,0.2894270905182692,8.6492000265
LVA,Latvia,2010,19.6028367215,30.351139748199998,22026145287.9415,EU,0.35413177613329777,10.748303026699997
LVA,Latvia,2011,24.0320229951,36.0909816453,22694935010.9107,EU,0.33412664606118836,12.058958650199997
LVA,Latvia,2012,23.7740889661,36.888825485299996,24352854611.1188,EU,0.35552057694073647,13.114736519199997
LVA,Latvia,2013,24.812752255899998,36.085940538900005,24863312429.9055,EU,0.3123983500124573,11.273188283000007
LVA,Latvia,2014,27.3977137726,36.6167645604,25384188823.064,EU,0.2517713101765999,9.2190507878
