iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,g_mf,g_gdp,elasticity,tapio
ARG,Argentina,1999,550.0409396553,542.4550271158,398792535409.293,MERCOSUR,-0.01398440821874915,-7.585912539499987,-0.05112576560138236,-0.033854570406325175,1.5101584509201258,RND
AUT,Austria,1999,157.938856943,219.7574061123,299463348050.583,EU,0.28130359864963833,61.81854916930001,-0.0014518269590026581,0.03761924351904679,-0.038592667560356224,SD
BEL,Belgium,1999,201.37257970860003,450.9349406659,354617493817.972,EU,0.5534331861460299,249.56236095729997,0.14421737696444764,0.03542717988239251,4.0708116605161795,END
BGR,Bulgaria,1999,94.8038349728,67.3210188191,29043813399.5103,EU,-0.4082352976200459,-27.4828161537,0.1127581369908028,-0.08396090956069947,-1.3429837478033082,SND
BRA,Brazil,1999,2374.6275738825,2039.8990897326,1136547820360.71,MERCOSUR,-0.16409070715050814,-334.72848414990017,-0.033651844564907676,0.0046793756667961985,-7.191524459917511,SD
CYP,Cyprus,1999,29.39070087,29.04413458,14660446535.5061,EU,-0.01193240201547096,-0.34656629000000194,0.22610047981674164,0.049979546948293686,4.52386013123836,END
CZE,Czech Republic,1999,186.6594018042,187.3342679153,123678521512.351,EU,0.00360247016528308,0.674866111100016,0.0325785782062593,0.013783606094386327,2.3635743783716827,END
DEU,Germany,1999,1568.250584256,2252.4350939096,2805269313430.67,EU,0.3037532630811776,684.1845096535997,0.05678153184406197,0.02129570162977677,2.666337687820863,END
DNK,Denmark,1999,136.08936090650002,168.6094724891,253621896626.282,EU,0.19287238790633365,32.52011158259998,0.03505733703751428,0.029673053625702307,1.1814536339848822,EC
ESP,Spain,1999,736.5870676155,801.7954815547,929618577227.575,EU,0.08132798879429873,65.2084139392,0.08308524615178121,0.0440886545305916,1.8845040075816153,END
EST,Estonia,1999,19.3416488397,15.5978538429,12698344018.6504,EU,-0.24001987930564816,-3.7437949967999984,0.037306818358277566,-0.004250253720863904,-8.777550896583794,SND
FIN,Finland,1999,118.5974959968,145.9257130059,185370756398.689,EU,0.1872748568170099,27.3282170091,0.22911067936817323,0.04389280703746571,5.21977733555775,END
FRA,France,1999,801.5106399924,1192.2482878681,1945303460549.75,EU,0.32773177521134567,390.73764787569985,0.054167547494500944,0.03399308088094869,1.5934874418770018,END
GRC,Greece,1999,219.4549393285,259.2060963443,186806231970.762,EU,0.15335733833589738,39.75115701580003,0.006470747658714194,0.0265878562321212,0.24337229757158022,WD
HRV,Croatia,1999,45.0161141717,63.6230975678,38544494402.669,EU,0.2924564208190501,18.6069833961,-0.026334067694413734,-0.008486944295916298,3.102891544496765,RND
HUN,Hungary,1999,129.460822795,131.1741456592,87819529312.3301,EU,0.01306143718786881,1.713322864199995,-0.007239858411347013,0.030860581158822845,-0.23459890058736574,SD
IRL,Ireland,1999,188.6301847141,138.6333898157,148165642333.121,EU,-0.3606403548587108,-49.996794898400026,0.6935407461411845,0.10529885642706728,6.586403401460954,END
ITA,Italy,1999,761.0156884926,1217.7264531521,1787471784895.84,EU,0.3750520188481564,456.7107646595,0.06488065638034282,0.01677991579434694,3.8665662674064647,END
LTU,Lithuania,1999,28.571996771899997,45.2795551076,21603573442.0349,EU,0.3689868042209564,16.707558335700007,0.06008921002903847,-0.010970081802098892,-5.477553505347761,SND
